system,method_key,method,series,measurement,value,source_tex
tomcat,hebo_dt,HEBO+DepTune,mean,100,2827.52,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,120,2827.52,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,140,2835.77,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,160,2835.77,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,180,2835.77,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,200,3095.82,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,20,2283.24,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,40,2289.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,60,2304.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,80,2310.91,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,100,2317.19,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,120,2327.37,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,140,2352.12,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,160,2425.45,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,180,2438.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,mean,200,2438.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,20,2208.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,40,2285.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,60,2335.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,80,2350.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,100,2364.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,120,2387.72,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,140,2387.72,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,160,2391.05,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,180,2391.05,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,mean,200,2392.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
